Unnamed: 0,id,title,username,participants,datestamp,checked
,1570664037,Беларусы Грузии / BY in Georgia,BelGeorgia,6142,2022-07-23 20:28:58.739999,True
,1104613391,Беларускі Тэлеграм,BelarusTelegram,5534,2022-07-23 20:28:59.605717,True
,1480423705,Athletes for Freedom,zozhteam,5735,2022-07-23 20:29:00.711080,True
,1386543018,Хрысціянская візія: НЕ ВАЙНЕ!,christianvision,2519,2022-07-23 20:29:00.953484,True
,1511996885,"Apeikin. Спорт, палітыка ды рок-н-рол.",apeikin_news,209,2022-07-23 20:29:11.664784,True
,1335378602,Стоп Пропаганда,stopbotluka,5977,2022-07-23 20:29:11.895472,True
,1363789135,Акции Вильнюса 2022,Vilnius_Belarus,2116,2022-07-23 20:29:12.142326,True
,1129085742,ASTAPENIA,astapenia,2396,2022-07-23 20:29:12.788740,True
,1105313000,УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,uniannet,761985,2022-07-23 20:29:13.785758,True
,1328646355,HARBACEVIČ,harbatsevich,5045,2022-07-23 20:29:14.910743,True
,1397667613,Фонд солидарности BYSOL/Belarus solidarity foundation,bysol,2763,2022-07-23 20:29:16.121603,True
,1081155944,PETITIONS.BY Канал | Удобный Город | Зручны Горад,petitions_by,1993,2022-07-23 20:29:16.877871,True
,1443326813,FRIEDMAN,Alexander_Friedman,10813,2022-07-23 20:29:17.097758,True
,1457456752,Годна,hodnaby,2855,2022-07-23 20:29:19.098577,True
,1131298763,The Village Беларусь ❤️🇺🇦,the_village_me,11202,2022-07-23 20:29:19.331396,True
,1446967004,iSANS Беларусь,iSANS_Belarus,5397,2022-07-23 20:29:20.202430,True
,1362280865,dev.by: главные ИТ-новости Беларуси,devby,32140,2022-07-23 20:29:21.003734,True
,1435166476,MOST,mostmediaio,2122,2022-07-23 20:29:21.915117,True
,1200001492,ЖКХ -23%,gkhby,906,2022-07-23 20:29:22.160524,True
,1286697603,Менскі ўрбаністычны,minskurban,1106,2022-07-23 20:29:22.982806,True
,1159810507,Волка ноги кормят,elloboviaja,1081,2022-07-23 20:29:23.931837,True
,1144952364,SYMBAL.BY,symbalby,3100,2022-07-23 20:29:25.256039,True
,1494842589,Виктор Бабарико,viktarbabarykaofficial,13010,2022-07-23 20:29:25.577971,True
,1558764413,Беларусы Батумі ⚪️🔴⚪️ Белорусы Батуми: новости,belarusinbatumi,1068,2022-07-23 20:29:26.220071,True
,1430833281,"Ха-Ха, я тут жыву!",hahaby,9601,2022-07-23 20:29:28.238554,True
,1360889563,dissidentby,dissidentBY,1416,2022-07-23 20:29:28.471528,True
,1206040673,Листовки 97%,listovki_97,2884,2022-07-23 20:29:29.214805,True
,1277049440,Кошелек Onliner,onlinercash,1853,2022-07-23 20:29:31.200770,True
,1550407306,Гродна Like!,hrodnalike,2388,2022-07-23 20:29:31.466084,True
,1262451694,Новы Час,novychas,3670,2022-07-23 20:29:33.343893,True
,1245297776,ПИНСК ДЛЯ ЖИЗНИ,Pinsk_strana,172,2022-07-23 20:29:34.451050,True
,1295859531,Слуцкая мясорубка,kartelpravdy,424,2022-07-23 20:29:34.792885,True
,1458322093,СТОЛБЦЫ РАЗАМ,stolbci_razam,219,2022-07-23 20:29:35.140513,True
,1280589870,"Витебск, я гуляю! | Новости Витебска",vitebsk_info,845,2022-07-23 20:29:42.572033,True
,1411178763,Ник и Майк,nic_and_mike,49394,2022-07-23 20:29:43.165977,True
,1395400220,Черная книга Беларуси,BlackBookBelarus,20554,2022-07-23 20:29:45.204957,True
,1325458889,Беларусы Москвы — народный канал,rb2020_msk,445,2022-07-23 20:29:47.107450,True
,1315540598,КАРБАЛЕВІЧ,vkarbalevich,6967,2022-07-23 20:29:47.383483,True
,1324358724,Золотая Горка News,golden_hill_news,392,2022-07-23 20:29:47.619443,True
,1413867576,ByProsvet,by_prosvet,1748,2022-07-23 20:29:50.151446,True
,1238949530,КиберПартизаны,cpartisans,52110,2022-07-23 20:29:51.189803,True
,1477304645,Койданава 2022,koidanava,203,2022-07-23 20:29:51.417586,True
,1446357227,Климовичи Online,klimavichy,164,2022-07-23 20:29:52.260478,True
,1243706799,Списки Задержанных (РУВД+Суды+Жодино+Окрестина),spiski_okrestina,14732,2022-07-23 20:29:54.307616,False
,1008079077,Onliner,onlinerby,123029,2022-07-23 20:29:54.537411,False
,1448473821,Транспорт Минска. Изменения. Мнения. Субъектив,transport_minska,1669,2022-07-23 20:29:54.772117,False
,1101865730,БАЖ Беларуская асацыяцыя журналістаў,bajby,1629,2022-07-23 20:29:55.375632,False
,1022813253,Сильные Новости - gomel.today,gomeltoday,24305,2022-07-23 20:29:55.601125,False
,1296152996,Малая Грушевка - новости,mgrushevkanews,46,2022-07-23 20:29:55.850327,False
